id,category,subcategory,question,answer,keywords,notes,department,contact,effective_from,effective_to,last_updated_at,status,requires_clarification,source_sheet,source_row
การจัดการนัดหมาย_1,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกผู้ป่วยนอก 1,แผนกผู้ป่วยนอก 1 โทร 054 466 666 ต่อ 7304,ขอเลื่อนนัดพบแพทย์|แผนกผู้ป่วยนอก|โทร|054|466|666|ต่อ|7304,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,2
การจัดการนัดหมาย_2,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกผู้ป่วยนอก 2,แผนกผู้ป่วยนอก 2 โทร 054 466 666 ต่อ 7173,ขอเลื่อนนัดพบแพทย์|แผนกผู้ป่วยนอก|โทร|054|466|666|ต่อ|7173,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,3
การจัดการนัดหมาย_3,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกผู้ป่วยนอก 3 (หู คอ จมูก ตา),แผนกผู้ป่วยนอก 3 (หู คอ จมูก ตา) โทร 054 466 666 ต่อ 7210,ขอเลื่อนนัดพบแพทย์|แผนกผู้ป่วยนอก|หู|คอ|จมูก|ตา|โทร|054|466|666|ต่อ|7210,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,4
การจัดการนัดหมาย_4,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกผู้ป่วยนอก 3 (สูติ-นรีเวช),แผนกผู้ป่วยนอก 3 (สูติ-นรีเวช) โทร 054 466 666 ต่อ 7152,ขอเลื่อนนัดพบแพทย์|แผนกผู้ป่วยนอก|สูติ|นรีเวช|โทร|054|466|666|ต่อ|7152,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,5
การจัดการนัดหมาย_5,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกผู้ป่วยนอก 4 (ความดัน/ระบบประสาทและสมอง/ทางเดินอาหาร),แผนกผู้ป่วยนอก 4 (ความดัน/ระบบประสาทและสมอง/ทางเดินอาหาร) โทร 054 466 666 ต่อ 7182,ขอเลื่อนนัดพบแพทย์|แผนกผู้ป่วยนอก|ความดัน|ระบบประสาทและสมอง|ทางเดินอาหาร|โทร|054|466|666|ต่อ|7182,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,6
การจัดการนัดหมาย_6,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกผู้ป่วยนอก 4 (หัวใจ),แผนกผู้ป่วยนอก 4 (หัวใจ) โทร 054 466 666 ต่อ 7171,ขอเลื่อนนัดพบแพทย์|แผนกผู้ป่วยนอก|หัวใจ|โทร|054|466|666|ต่อ|7171,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,7
การจัดการนัดหมาย_7,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกกระดูกและข้อ,แผนกกระดูกและข้อ โทร 054 466 666 ต่อ 7406/7409,ขอเลื่อนนัดพบแพทย์|แผนกกระดูกและข้อ|โทร|054|466|666|ต่อ|7406|7409,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,8
การจัดการนัดหมาย_8,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ ห้อง X-Ray/CT-Scan,ห้อง X-Ray/CT-Scan โทร 054 466 666 ต่อ 7291,ขอเลื่อนนัดพบแพทย์|ห้อง|ray|ct|scan|โทร|054|466|666|ต่อ|7291,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,9
การจัดการนัดหมาย_9,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกกายภาพบำบัด,แผนกกายภาพบำบัด โทร 054 46 666 ต่อ 7190,ขอเลื่อนนัดพบแพทย์|แผนกกายภาพบำบัด|โทร|054|46|666|ต่อ|7190,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,10
การจัดการนัดหมาย_10,การจัดการนัดหมาย,,ขอเลื่อนนัดพบแพทย์ แผนกแพทย์แผนไทย&จีน,"แผนกแพทย์แผนไทย&จีน โทร 054 466 666 ต่อ 7113, 7114",ขอเลื่อนนัดพบแพทย์|แผนกแพทย์แผนไทย&จีน|โทร|054|466|666|ต่อ|7113|7114,สอบถามแพทย์ที่นัดหรือแผนก แล้วทำการแจ้งเบอร์โทรของแต่ละแผนก,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,11
การจัดการนัดหมาย_11,การจัดการนัดหมาย,,ลืมวันนัดพบแพทย์/ทำใบนัดหาย (ขอเช็ควันนัด),ขอทราบชื่อ-นามสกุล และแพทย์ที่นัด,ลืมวันนัดพบแพทย์|ทำใบนัดหาย|ขอเช็ควันนัด|ขอทราบชื่อ|นามสกุล|และแพทย์ที่นัด,เช็คข้อมูลในระบบแล้วแจ้งกลับคนไข้,,,,,2026-04-20T20:16:21+07:00,active,False,การจัดการนัดหมาย,12
คลินิกทันตกรรม_1,คลินิกทันตกรรม,,ติดต่อโรงพยาบาลทันตกรรม (สอบถามเกี่ยวกับช่องปากหรือฟัน),ติดต่อรพ.ทันตกรรม โดยตรง https://www.facebook.com/DentHosUP/?locale=th_TH หรือ โทร 054 466 666 ต่อ 4701,ติดต่อโรงพยาบาลทันตกรรม|สอบถามเกี่ยวกับช่องปากหรือฟัน|ติดต่อรพ.ทันตกรรม|โดยตรง|https|www.facebook.com|denthosup|?locale=th_th|หรือ|โทร|054|466|666|ต่อ|4701,,,,,,2026-04-20T20:16:21+07:00,active,False,คลินิกทันตกรรม,2
ศูนย์ไตเทียม_1,ศูนย์ไตเทียม,,ที่โรงพยาบาลมีบริการฟอกไตไหม หากต้องการฟอกไตที่โรงพยาบาลมหาวิทยาลัยพะเยา ต้องทำอย่างไร,ติดต่อสอบถามข้อมูลเพิ่มเติมหน่วยไตเทียม โทร 054 466 666 ต่อ 7279,ที่โรงพยาบาลมีบริการฟอกไตไหม|หากต้องการฟอกไตที่โรงพยาบาลมหาวิทยาลัยพะเยา|ต้องทำอย่างไร|ติดต่อสอบถามข้อมูลเพิ่มเติมหน่วยไตเทียม|โทร|054|466|666|ต่อ|7279,เนื่องจากที่รพ.ไม่มีแพทย์เฉพาะทางด้านไต หากต้องการฟอกไตจะต้องติดต่อกับทางหน่วยไตเทียมก่อนเท่านั้น,,,,,2026-04-20T20:16:21+07:00,active,False,ศูนย์ไตเทียม,2
ศูนย์ไตเทียม_2,ศูนย์ไตเทียม,,สามารถใช้สิทธิการรักษาอะไรได้บ้าง หรือมีค่าใช้จ่ายส่วนเกินไหม,ติดต่อสอบถามข้อมูลเพิ่มเติมหน่วยไตเทียม โทร 054 466 666 ต่อ 7279,สามารถใช้สิทธิการรักษาอะไรได้บ้าง|หรือมีค่าใช้จ่ายส่วนเกินไหม|ติดต่อสอบถามข้อมูลเพิ่มเติมหน่วยไตเทียม|โทร|054|466|666|ต่อ|7279,เนื่องจากทางเจ้าหน้าที่หน่วยไตเทียมจะต้องทำการตรวจสอบข้อมูลคนไข้,,,,,2026-04-20T20:16:21+07:00,active,False,ศูนย์ไตเทียม,3
สูตินรีเวช_1,สูตินรีเวช,,สอบถามค่าใช้จ่ายการถอดยาคุมและฝัง,ค่าใช้จ่ายจะเป็นไปตามสิทธิการรักษาค่ะ รายละเอียดเพิ่มเติม แผนกผู้ป่วยนอก 3 (สูติ-นรีเวช)โทร 054 466 666 ต่อ 7152 ค่ะ เปิดบริการทุกวันจันทร์-พุธ และ วันศุกร์(ราชการ) 08.00-12.00 น.,สอบถามค่าใช้จ่ายการถอดยาคุมและฝัง|ค่าใช้จ่ายจะเป็นไปตามสิทธิการรักษาค่ะ|รายละเอียดเพิ่มเติม|แผนกผู้ป่วยนอก|สูติ|นรีเวช|โทร|054|466|666|ต่อ|7152|ค่ะ|เปิดบริการทุกวันจันทร์|พุธ|และ|วันศุกร์|ราชการ|08.00|12.00|น.,,,,,,2026-04-20T20:16:21+07:00,active,False,สูตินรีเวช,2
สูตินรีเวช_2,สูตินรีเวช,,อยากตรวจภายใน สามารถเข้ามาได้เลยไหม,ติดต่อแผนกผู้ป่วยนอก 3 (สูติ-นรีเวช)โทร 054 466 666 ต่อ 7152 ค่ะ,อยากตรวจภายใน|สามารถเข้ามาได้เลยไหม|ติดต่อแผนกผู้ป่วยนอก|สูติ|นรีเวช|โทร|054|466|666|ต่อ|7152|ค่ะ,เนื่องจากแพทย์มีจำนวนคนไข้นัดค่อนข้างเยอะ ทำให้จำกัดเคส Walk in ต่อวัน จึงจะต้องทำการสอบถามไปยังแผนกว่ายังรับเคสหรือไม่ (วันต่อวัน),,,,,2026-04-20T20:16:21+07:00,active,False,สูตินรีเวช,3
ประเมินค่าใช้จ่ายทั่วไป_1,ประเมินค่าใช้จ่ายทั่วไป,,ค่าใช้จ่ายในการรักษา,ค่าใช้จ่ายจะเป็นไปตามสิทธิการรักษา เช็คสิทธิการรักษา (งานเวชระเบียน โทร. 0 5446 6666 ต่อ 7226) ค่าใช้จ่าย (การเงิน ผู้ป่วยนอก โทร. 0 5446 6666 ต่อ 7101) ให้บริการทุกวันจันทร์-วันศุกร์ 08.00-16.00 น. (เว้นวันหยุดนักขัตฤกษ์),ค่าใช้จ่ายในการรักษา|ค่าใช้จ่ายจะเป็นไปตามสิทธิการรักษา|เช็คสิทธิการรักษา|งานเวชระเบียน|โทร.|5446|6666|ต่อ|7226|ค่าใช้จ่าย|การเงิน|ผู้ป่วยนอก|7101|ให้บริการทุกวันจันทร์|วันศุกร์|08.00|16.00|น.|เว้นวันหยุดนักขัตฤกษ์,คนไข้จะสอบถามโดยแจ้งรายการที่จะตรวจ เช่น ตรวจอาการป่วยราคาเท่าไหร่หรือตรวจตาราคาเท่าไหร่,,,,,2026-04-20T20:16:21+07:00,active,False,ประเมินค่าใช้จ่ายทั่วไป,2
ประเมินค่าใช้จ่ายทั่วไป_2,ประเมินค่าใช้จ่ายทั่วไป,,ย้ายสิทธิการรักษาหรือตรวจสอบสิทธิการรักษา,งานเวชระเบียน โทร. 0 5446 6666 ต่อ 7226 หรือ 7227,ย้ายสิทธิการรักษาหรือตรวจสอบสิทธิการรักษา|งานเวชระเบียน|โทร.|5446|6666|ต่อ|7226|หรือ|7227,,,,,,2026-04-20T20:16:21+07:00,active,False,ประเมินค่าใช้จ่ายทั่วไป,3
